"Category","Panama","Liberia","Marshall Islands","China, Hong Kong SAR","Singapore"
1992,76.258118,94.807604,,10.849411,14.289508
1993,83.338991,98.369597,,12.353708,15.958392
1994,90.97477,93.132059,,13.091086,17.522426
1995,97.930679,96.0758,,13.588738,18.520025
1996,109.514365,97.888613,,15.257215,21.020699
1997,125.165275,98.611538,,13.693422,25.721659
1998,139.202376,98.265077,,9.526233,29.537419
1999,150.5213,97.821338,,10.430817,32.163364
2000,158.947251,85.186919,,13.190911,34.635484
2001,172.355,80.062,,17.778,33.742
2002,185.051,78.484,21.85967,23.207,32.799
2003,186.4,77.016,26.27051,27.496,33.619
2004,186.86017,82.085102,31.04835,34.466582,36.392975
2005,195.286,83.592,42.10551,43.958,40.935
2006,211.120625,93.026087,48.89265,50.443434,48.562144
2007,231.993153,105.182334,54.2781,54.734019,50.981072
2008,252.564216,117.518772,59.600136,59.209936,55.550328
2009,273.961361,125.992848,68.450835,64.182517,60.797779
2010,288.757587,142.12095,77.827419,74.513464,61.660395
2011,314.842472032,167.743274307,106.528334869,89.384967866,64.729938839
2012,332.137814923,187.905441274,122.579162869,111.681857168,80.310108958
2013,344.828450085,199.879595669,140.80835014,131.715953031,92.540325397
2014,337.787828626,202.996080096,153.44890514,140.988683863,107.15741671
2015,335.498246078,201.568837593,178.062311702,150.421016256,117.534013819
2016,333.080952547,207.547171593,198.237865637,164.146989709,123.237620863
2017,342.450282267,217.115698534,216.368197581,173.562635709,124.510080295
2018,335.518441645,224.057191013,238.07414625,182.513890788,128.203543205
2019,333.787799651,243.886717036,245.714985898,198.830288425,129.246799056
2020,329.131820257,275.242346481,262.055023947,201.422370155,139.91108282
2021,344.594116773,299.454942236,274.093021947,205.033150342,136.329909489
2022,350.401096706,335.114054238,289.781175066,207.815646694,131.368664526
#,"Vessels capacity in top 5 registries - Millions of dead-weight tons"
#,"Source: UNCTAD HBS2022"
#,"Detailed information, including sources and notes, can be found on UNCTAD HBS2022 at https://hbs.unctad.org/merchant-fleet/."
#,"Last updated: Nov 2022"
