DATE,PCEPI_NBD20190101
1965-01-01,15.92229
1966-01-01,16.32477
1967-01-01,16.73491
1968-01-01,17.38977
1969-01-01,18.17313
1970-01-01,19.02267
1971-01-01,19.83052
1972-01-01,20.50721
1973-01-01,21.61133
1974-01-01,23.86118
1975-01-01,25.85017
1976-01-01,27.26814
1977-01-01,29.04183
1978-01-01,31.06258
1979-01-01,33.82211
1980-01-01,37.46440
1981-01-01,40.82079
1982-01-01,43.08816
1983-01-01,44.92098
1984-01-01,46.61749
1985-01-01,48.24394
1986-01-01,49.29340
1987-01-01,50.81319
1988-01-01,52.79907
1989-01-01,55.10457
1990-01-01,57.52379
1991-01-01,59.44720
1992-01-01,61.03188
1993-01-01,62.55198
1994-01-01,63.85730
1995-01-01,65.20189
1996-01-01,66.59621
1997-01-01,67.75522
1998-01-01,68.29431
1999-01-01,69.28934
2000-01-01,71.04179
2001-01-01,72.46614
2002-01-01,73.41765
2003-01-01,74.96010
2004-01-01,76.82067
2005-01-01,79.03413
2006-01-01,81.25980
2007-01-01,83.34500
2008-01-01,85.81152
2009-01-01,85.57211
2010-01-01,87.10463
2011-01-01,89.30832
2012-01-01,90.97367
2013-01-01,92.20553
2014-01-01,93.59977
2015-01-01,93.80810
2016-01-01,94.74756
2017-01-01,96.47894
2018-01-01,98.54131
2019-01-01,100.00000
2020-01-01,101.18516
2021-01-01,105.10158
